path,pixels,bytes
images/packed/card_portraits/ironclad/taunt.png,1000x760,389422
images/packed/card_portraits/ironclad/tear_asunder.png,1000x760,461627
images/packed/card_portraits/ironclad/thrash.png,1000x760,438417
images/packed/card_portraits/ironclad/thunderclap.png,1000x760,339711
images/packed/card_portraits/ironclad/tremble.png,1000x760,336731
images/packed/card_portraits/ironclad/true_grit.png,1000x760,234402
images/packed/card_portraits/ironclad/twin_strike.png,1000x760,323217
images/packed/card_portraits/ironclad/unmovable.png,1000x760,455202
images/packed/card_portraits/ironclad/unrelenting.png,1000x760,666978
images/packed/card_portraits/ironclad/uppercut.png,1000x760,332713
images/packed/card_portraits/ironclad/vicious.png,1000x760,384441
images/packed/card_portraits/ironclad/whirlwind.png,1000x760,368777
images/packed/character_select/char_select_ironclad.png,132x195,29867
images/packed/character_select/char_select_ironclad_locked.png,132x195,3957
images/packed/map/icons/map_marker_ironclad.png,49x64,3950
images/packed/sprite_fonts/ironclad_energy_icon.png,24x24,1435
images/relics/yummy_cookie_ironclad.png,256x256,52508
images/timeline/epoch_portraits/ironclad2_epoch.png,833x533,365519
images/timeline/epoch_portraits/ironclad3_epoch.png,810x500,473446
images/timeline/epoch_portraits/placeholder/ironclad4_epoch.png,810x500,425950
images/timeline/epoch_portraits/placeholder/ironclad5_epoch.png,864x533,203353
images/timeline/epoch_portraits/placeholder/ironclad6_epoch.png,648x400,204895
images/timeline/epoch_portraits/placeholder/ironclad7_epoch.png,810x500,147567
images/ui/combat/energy_counters/ironclad/ironclad_orb_layer_1.png,256x256,11015
images/ui/combat/energy_counters/ironclad/ironclad_orb_layer_2.png,256x256,10590
images/ui/combat/energy_counters/ironclad/ironclad_orb_layer_3.png,256x256,9725
images/ui/combat/energy_counters/ironclad/ironclad_orb_layer_4.png,256x256,29517
images/ui/combat/energy_counters/ironclad/ironclad_orb_layer_5.png,256x256,37915
images/ui/hands/multiplayer_hand_ironclad_paper.png,422x1200,303631
images/ui/hands/multiplayer_hand_ironclad_point.png,422x1200,284086
images/ui/hands/multiplayer_hand_ironclad_rock.png,422x1200,276251
images/ui/hands/multiplayer_hand_ironclad_scissors.png,422x1200,290416
images/ui/top_panel/character_icon_ironclad.png,88x88,8419
images/ui/top_panel/character_icon_ironclad_outline.png,88x88,1150
images/ui/transitions/ironclad_transition.png,2560x1200,121482
images/vfx/characters/ironclad_slash_base.png,80x240,9962
materials/transitions/ironclad_transition_mat.tres,,807
scenes/combat/energy_counters/ironclad_energy_counter.tscn,,4996
scenes/creature_visuals/ironclad.tscn,,2701
scenes/merchant/characters/ironclad_merchant.tscn,,661
scenes/rest_site/characters/ironclad_rest_site.tscn,,1751
scenes/screens/char_select/char_select_bg_ironclad.tscn,,11100
scenes/ui/character_icons/ironclad_icon.tscn,,418
scenes/vfx/card_trail_ironclad.tscn,,4909
scenes/vfx/energy/ironclad/ironclad_energy_vfx_back.tscn,,1475
scenes/vfx/energy/ironclad/ironclad_energy_vfx_front.tscn,,9324
